id,title,site,url,added,last_seen,author_id,id,author,gender
113,"Elegido pero no designado",pagina12,https://www.pagina12.com.ar/80478-elegido-pero-no-designado,2017-12-05T18:06:56-03:00,2017-12-05T22:50:21-03:00,89,89,"Dora Barrancos",F
114,"El “golpe blando preventivo”",pagina12,https://www.pagina12.com.ar/80470-el-golpe-blando-preventivo,2017-12-05T18:06:56-03:00,2017-12-05T22:50:21-03:00,90,90,"Atilio A. Boron",M
115,"Tragedias docentes",pagina12,https://www.pagina12.com.ar/80472-tragedias-docentes,2017-12-05T18:06:56-03:00,2017-12-05T18:06:56-03:00,91,91,"Nicolás Kogan",M
116,Noche,pagina12,https://www.pagina12.com.ar/80220-noche,2017-12-05T18:06:56-03:00,2017-12-05T22:50:21-03:00,92,92,"Víctor Hugo Morales",M
117,"Una economía que demanda otras señales",lanacion,/2088897-una-economia-que-demanda-otras-senales,2017-12-06T13:14:03-03:00,2017-12-06T15:17:33-03:00,93,93,"Joaquín Morales Solá",M
118,"Preocupación en el Gobierno por el aumento en las cuotas de los créditos hipotecarios",lanacion,/2088899-la-preocupacion-del-gobierno-por-el-aumento-en-las-cuotas-de-los-creditos-hipotecarios,2017-12-06T13:14:03-03:00,2017-12-06T15:17:33-03:00,94,94,"José Del Rio",M
119,"Andrés Ibarra quiere dejar de ser el ""ministro de la tijera""",lanacion,/2088937-andres-ibarra-quiere-dejar-de-ser-el-ministro-de-la-tijera,2017-12-06T13:14:03-03:00,2017-12-06T15:17:33-03:00,95,95,"Jaime Rosemberg",M
120,"Moyano estacionó el camión en la salida de las ambulancias",lanacion,/2088781-hugo-moyano-estaciono-el-camion-en-la-salida-de-las-ambulancias,2017-12-06T13:14:03-03:00,2017-12-06T15:17:33-03:00,96,96,"Claudio Jacquelin",M
121,"Para que el próximo diciembre tarde más en llegar",lanacion,/2088394-para-que-el-proximo-diciembre-tarde-mas-en-llegar,2017-12-06T13:14:03-03:00,2017-12-06T15:17:33-03:00,97,97,"Dr. Daniel López Rosetti",M
122,"El romance del Adolfo y la Cristina",lanacion,/2088916-el-romance-del-adolfo-y-la-cristina,2017-12-06T13:14:03-03:00,2017-12-06T15:17:33-03:00,98,98,"Gustavo Ybarra",M
